index,common,construction,all,,,
1,4,0,4,,,
2,5,0,5,,,
3,7,0,7,,,
4,4,0,4,,,
5,9,0,9,,,
6,4,0,4,,,
7,6,0,6,,,
8,1,0,1,,,
9,19,0,19,,,31
10,2,0,2,,,
11,9,0,9,,,
12,4,0,4,,,
13,5,0,5,,,
14,5,0,5,,,
15,9,0,9,,,
16,6,0,6,,,
17,1,1,2,,,
18,6,1,7,,,
19,10,0,10,,,
20,3,0,3,,,
21,9,0,9,,,
22,4,0,4,,,
23,1,0,1,,,
24,4,0,4,,,
25,3,1,4,,,
26,1,0,1,,,
27,3,0,3,,,
28,18,0,18,,,
29,3,0,3,,,
30,9,0,9,,,
31,2,0,2,,,
32,12,0,12,,,
33,4,0,4,,,
34,2,0,2,,,
35,2,0,2,,,
36,0,4,4,,,
37,1,0,1,,,
38,11,0,11,,,
39,4,0,4,,,
40,4,1,5,,,
41,3,0,3,,,
42,5,0,5,,,
43,2,0,2,,,
44,6,0,6,,,
45,3,0,3,,,
46,3,0,3,,,
47,2,0,2,,,
48,7,0,7,,,
49,1,0,1,,,
50,6,0,6,,,
51,6,0,6,,,
52,3,0,3,,,
53,2,0,2,,,
54,2,0,2,,,
55,8,0,8,,,
56,4,0,4,,,
57,2,0,2,,,
58,14,0,14,,,
59,2,0,2,,,
60,6,0,6,,,
61,2,0,2,,,
62,1,0,1,,,
63,3,0,3,,,
64,16,0,16,,,
65,11,0,11,,,
66,8,0,8,,,
67,6,0,6,,,
68,1,0,1,,,
69,6,0,6,,,
70,2,0,2,,,
71,5,0,5,,,
72,14,0,14,,,
73,3,0,3,,,
74,1,0,1,,,
75,14,0,14,,,
76,1,0,1,,,
77,3,0,3,,,
78,7,0,7,,,
79,4,0,4,,,
80,16,0,16,,,
81,5,0,5,,,
82,10,0,10,,,
83,4,0,4,,,
84,14,0,14,,,
85,1,0,1,,,
86,7,0,7,,,
87,2,0,2,,,
88,1,0,1,,,
89,2,0,2,,,
90,9,0,9,,,
91,9,0,9,,,
92,5,0,5,,,
93,4,0,4,,,
94,2,0,2,,,
95,2,0,2,,,
96,3,0,3,,,
97,4,0,4,,,
98,5,0,5,,,
99,6,0,6,,,
100,1,0,1,,,
101,1,0,1,,,
102,2,1,3,,,
103,4,0,4,,,
104,4,0,4,,,
105,3,0,3,,,
106,4,0,4,,,
107,9,0,9,,,
108,2,0,2,,,
109,5,0,5,,,
110,8,0,8,,,
111,4,0,4,,,
112,9,0,9,,,
113,9,0,9,,,
114,2,0,2,,,
115,4,0,4,,,
116,3,0,3,,,
117,4,0,4,,,
118,1,1,2,,,
119,3,0,3,,,
120,3,0,3,,,
121,1,0,1,,,
122,4,0,4,,,
123,3,0,3,,,
124,1,0,1,,,
125,27,0,27,,,
126,6,0,6,,,
127,2,0,2,,,
128,2,0,2,,,
129,2,0,2,,,
130,1,0,1,,,
131,1,0,1,,,
132,1,0,1,,,
133,6,0,6,,,
134,8,0,8,,,
135,6,0,6,,,
136,4,0,4,,,
137,1,0,1,,,
138,2,0,2,,,
139,7,0,7,,,
140,10,0,10,,,
141,4,1,5,,,
142,9,0,9,,,
143,8,0,8,,,
144,7,0,7,,,
145,1,0,1,,,
146,1,0,1,,,
147,7,0,7,,,
148,10,0,10,,,
149,7,0,7,,,
150,1,0,1,,,
151,9,0,9,,,
152,9,0,9,,,
153,5,0,5,,,
154,1,0,1,,,
155,9,0,9,,,
156,3,0,3,,,
157,5,0,5,,,
158,8,0,8,,,
159,6,1,7,,,
160,3,0,3,,,
161,3,0,3,,,
162,0,3,3,,,
163,1,0,1,,,
164,6,0,6,,,
165,15,0,15,,,
166,7,0,7,,,
167,5,0,5,,,
168,7,0,7,,,
169,4,0,4,,,
170,1,0,1,,,
171,2,0,2,,,
172,6,0,6,,,
173,4,0,4,,,
174,2,0,2,,,
175,3,0,3,,,
176,4,0,4,,,
177,4,1,5,,,
178,4,0,4,,,
179,2,0,2,,,
180,8,0,8,,,
181,6,0,6,,,
182,3,0,3,,,
183,13,0,13,,,
184,5,0,5,,,
185,2,0,2,,,
186,6,0,6,,,
187,3,0,3,,,
188,2,0,2,,,
189,11,0,11,,,
190,2,0,2,,,
191,7,0,7,,,
192,2,0,2,,,
193,7,0,7,,,
194,3,0,3,,,
195,1,0,1,,,
196,3,0,3,,,
197,7,0,7,,,
198,3,0,3,,,
199,8,0,8,,,
200,5,0,5,,,
201,5,0,5,,,
202,6,0,6,,,
203,11,0,11,,,
204,3,0,3,,,
205,5,0,5,,,
206,2,0,2,,,
207,4,0,4,,,
208,1,0,1,,,
209,3,0,3,,,
210,23,0,23,,,
211,9,1,10,,,
212,7,0,7,,,
213,11,0,11,,,
214,2,0,2,,,
215,2,0,2,,,
216,6,0,6,,,
217,4,0,4,,,
218,4,0,4,,,
219,3,0,3,,,
220,31,0,31,,,
221,14,0,14,,,
222,4,0,4,,,
223,18,0,18,,,
224,2,0,2,,,
225,1,0,1,,,
226,4,0,4,,,
227,6,0,6,,,
228,3,0,3,,,
229,4,0,4,,,
230,2,0,2,,,
231,4,0,4,,,
232,1,0,1,,,
233,4,0,4,,,
234,2,0,2,,,
235,2,0,2,,,
236,2,0,2,,,
237,4,0,4,,,
238,17,0,17,,,
239,8,0,8,,,
240,5,0,5,,,
241,4,0,4,,,
242,11,0,11,,,
243,6,0,6,,,
244,3,0,3,,,
245,5,0,5,,,
246,10,0,10,,,
247,5,0,5,,,
248,3,0,3,,,
249,2,0,2,,,
250,5,0,5,,,
251,4,0,4,,,
252,1,0,1,,,
253,8,0,8,,,
254,4,0,4,,,
255,3,0,3,,,
256,2,0,2,,,
257,10,0,10,,,
258,10,0,10,,,
259,2,0,2,,,
260,2,0,2,,,
261,10,1,11,,,
262,4,0,4,,,
263,2,0,2,,,
264,11,0,11,,,
265,8,0,8,,,
266,3,0,3,,,
267,2,0,2,,,
268,9,0,9,,,
269,7,0,7,,,
270,4,0,4,,,
271,3,0,3,,,
272,14,0,14,,,
273,3,0,3,,,
274,6,0,6,,,
275,7,0,7,,,
276,4,0,4,,,
277,6,0,6,,,
278,1,0,1,,,
279,5,0,5,,,
280,2,0,2,,,
281,5,0,5,,,
282,12,0,12,,,
283,2,0,2,,,
284,9,0,9,,,
285,4,0,4,,,
286,9,0,9,,,
287,6,0,6,,,
288,14,0,14,,,
289,8,0,8,,,
290,1,0,1,,,
291,3,0,3,,,
292,2,0,2,,,
293,4,0,4,,,
294,2,0,2,,,
295,2,0,2,,,
296,10,0,10,,,
297,5,0,5,,,
298,2,0,2,,,
299,6,0,6,,,
300,2,1,3,,,
301,14,0,14,,,
302,1,0,1,,,
303,4,0,4,,,
304,1,0,1,,,
305,15,0,15,,,
306,6,0,6,,,
307,3,0,3,,,
308,7,0,7,,,
309,1,0,1,,,
310,8,0,8,,,
311,3,0,3,,,
312,2,0,2,,,
313,5,0,5,,,
314,10,0,10,,,
315,7,0,7,,,
316,3,0,3,,,
317,5,0,5,,,
318,3,0,3,,,
319,12,1,13,,,
320,13,0,13,,,
321,4,0,4,,,
322,7,0,7,,,
323,4,0,4,,,
324,1,0,1,,,
325,9,0,9,,,
326,4,0,4,,,
327,5,0,5,,,
328,5,0,5,,,
329,10,0,10,,,
330,5,0,5,,,
331,4,0,4,,,
332,4,0,4,,,
333,2,0,2,,,
334,13,0,13,,,
335,3,0,3,,,
336,1,1,2,,,
337,2,0,2,,,
338,2,0,2,,,
339,1,0,1,,,
340,3,0,3,,,
341,3,0,3,,,
342,1,0,1,,,
343,4,0,4,,,
344,4,0,4,,,
345,18,0,18,,,
346,7,0,7,,,
347,2,0,2,,,
348,2,0,2,,,
349,3,0,3,,,
350,8,0,8,,,
351,3,0,3,,,
352,13,0,13,,,
353,11,0,11,,,
354,2,0,2,,,
355,0,1,1,,,
356,5,0,5,,,
357,12,0,12,,,
358,3,0,3,,,
359,4,0,4,,,
360,1,0,1,,,
361,3,0,3,,,
362,22,0,22,,,
363,7,0,7,,,
364,3,0,3,,,
365,6,0,6,,,
366,11,0,11,,,
367,2,0,2,,,
368,8,0,8,,,
369,10,0,10,,,
370,2,0,2,,,
371,6,0,6,,,
372,5,0,5,,,
373,2,0,2,,,
374,6,0,6,,,
375,2,0,2,,,
376,5,0,5,,,
377,2,0,2,,,
378,8,0,8,,,
379,4,0,4,,,
380,5,0,5,,,
381,6,0,6,,,
382,5,0,5,,,
383,2,0,2,,,
384,10,0,10,,,
385,3,0,3,,,
386,12,0,12,,,
387,1,0,1,,,
388,2,0,2,,,
389,21,0,21,,,
390,2,0,2,,,
391,2,0,2,,,
392,4,0,4,,,
393,1,0,1,,,
394,5,0,5,,,
395,6,0,6,,,
396,10,0,10,,,
397,11,0,11,,,
